experiment,plate,row,col,plate_filled_with,strain2,strain1,transfer_h,plant,strain1_od,strain2_od,Type,date_ster,date_germ,date_inoc,date_process,light_dn,light_lx,temp_dn,MS,MES,pH,notes
2023-12_priorityeffects2,PlateD-T3-Trial2_cropped,H,4,MOCK-_neon,MOCK-_crim,MOCK-_neon,6,col0,0.001,0.001,Priority,2023-11-29,2023-12-01,2023-12-06,2023-12-13,12_12,110,23_23,0.5,0.5,5.8,
2023-12_priorityeffects2,PlateD-T3-Trial2_cropped,H,5,MOCK-_neon,MOCK-_crim,MOCK-_neon,6,col0,0.001,0.001,Priority,2023-11-29,2023-12-01,2023-12-06,2023-12-13,12_12,110,23_23,0.5,0.5,5.8,
2023-12_priorityeffects2,PlateD-T3-Trial2_cropped,H,6,NA,MOCK-_crim,NA,NA,NOPLANT,NA,NA,NA,2023-11-29,2023-12-01,2023-12-06,2023-12-13,12_12,110,23_23,0.5,0.5,5.8,
2023-12_priorityeffects2,PlateD-T3-Trial2_cropped,H,7,NA,MOCK-_crim,NA,NA,NOPLANT,NA,NA,NA,2023-11-29,2023-12-01,2023-12-06,2023-12-13,12_12,110,23_23,0.5,0.5,5.8,
2023-12_priorityeffects2,PlateD-T3-Trial2_cropped,H,8,NA,MOCK-_crim,NA,NA,NOPLANT,NA,NA,NA,2023-11-29,2023-12-01,2023-12-06,2023-12-13,12_12,110,23_23,0.5,0.5,5.8,
2023-12_priorityeffects2,PlateD-T3-Trial2_cropped,H,9,NA,MOCK-_crim,NA,NA,NOPLANT,NA,NA,NA,2023-11-29,2023-12-01,2023-12-06,2023-12-13,12_12,110,23_23,0.5,0.5,5.8,
2023-12_priorityeffects2,PlateD-T3-Trial2_cropped,H,10,NA,MOCK-_crim,NA,NA,NOPLANT,NA,NA,NA,2023-11-29,2023-12-01,2023-12-06,2023-12-13,12_12,110,23_23,0.5,0.5,5.8,
2023-12_priorityeffects2,PlateD-T3-Trial2_cropped,H,11,NA,MOCK-_crim,NA,NA,NOPLANT,NA,NA,NA,2023-11-29,2023-12-01,2023-12-06,2023-12-13,12_12,110,23_23,0.5,0.5,5.8,
2023-12_priorityeffects2,PlateD-T3-Trial2_cropped,H,12,NA,MOCK-_crim,NA,NA,NOPLANT,NA,NA,NA,2023-11-29,2023-12-01,2023-12-06,2023-12-13,12_12,110,23_23,0.5,0.5,5.8,
2023-12_priorityeffects2,PlateE-T24-Trial2_cropped,A,1,N2C3-_neon,WCS365-_crim,N2C3-_neon,24,col0,0.001,0.002,Priority,2023-11-29,2023-12-01,2023-12-07,2023-12-13,12_12,110,23_23,0.5,0.5,5.8,
2023-12_priorityeffects2,PlateE-T24-Trial2_cropped,A,2,N2C3-_neon,WCS365-_crim,N2C3-_neon,24,col0,0.001,0.002,Priority,2023-11-29,2023-12-01,2023-12-07,2023-12-13,12_12,110,23_23,0.5,0.5,5.8,
2023-12_priorityeffects2,PlateE-T24-Trial2_cropped,A,3,N2C3-_neon,WCS365-_crim,N2C3-_neon,24,col0,0.001,0.002,Priority,2023-11-29,2023-12-01,2023-12-07,2023-12-13,12_12,110,23_23,0.5,0.5,5.8,
2023-12_priorityeffects2,PlateE-T24-Trial2_cropped,A,4,N2C3-_neon,WCS365-_crim,N2C3-_neon,24,col0,0.001,0.002,Priority,2023-11-29,2023-12-01,2023-12-07,2023-12-13,12_12,110,23_23,0.5,0.5,5.8,
2023-12_priorityeffects2,PlateE-T24-Trial2_cropped,A,5,N2C3-_neon,WCS365-_crim,N2C3-_neon,24,col0,0.001,0.002,Priority,2023-11-29,2023-12-01,2023-12-07,2023-12-13,12_12,110,23_23,0.5,0.5,5.8,
2023-12_priorityeffects2,PlateE-T24-Trial2_cropped,A,6,N2C3-_neon,WCS365-_crim,N2C3-_neon,24,col0,0.001,0.002,Priority,2023-11-29,2023-12-01,2023-12-07,2023-12-13,12_12,110,23_23,0.5,0.5,5.8,
2023-12_priorityeffects2,PlateE-T24-Trial2_cropped,A,7,WCS365-_neon,N2C3-_crim,WCS365-_neon,24,col0,0.001,0.002,Priority,2023-11-29,2023-12-01,2023-12-07,2023-12-13,12_12,110,23_23,0.5,0.5,5.8,
2023-12_priorityeffects2,PlateE-T24-Trial2_cropped,A,8,WCS365-_neon,N2C3-_crim,WCS365-_neon,24,col0,0.001,0.002,Priority,2023-11-29,2023-12-01,2023-12-07,2023-12-13,12_12,110,23_23,0.5,0.5,5.8,
2023-12_priorityeffects2,PlateE-T24-Trial2_cropped,A,9,WCS365-_neon,N2C3-_crim,WCS365-_neon,24,col0,0.001,0.002,Priority,2023-11-29,2023-12-01,2023-12-07,2023-12-13,12_12,110,23_23,0.5,0.5,5.8,
2023-12_priorityeffects2,PlateE-T24-Trial2_cropped,A,10,WCS365-_neon,N2C3-_crim,WCS365-_neon,24,col0,0.001,0.002,Priority,2023-11-29,2023-12-01,2023-12-07,2023-12-13,12_12,110,23_23,0.5,0.5,5.8,
2023-12_priorityeffects2,PlateE-T24-Trial2_cropped,A,11,WCS365-_neon,N2C3-_crim,WCS365-_neon,24,col0,0.001,0.002,Priority,2023-11-29,2023-12-01,2023-12-07,2023-12-13,12_12,110,23_23,0.5,0.5,5.8,
2023-12_priorityeffects2,PlateE-T24-Trial2_cropped,A,12,WCS365-_neon,N2C3-_crim,WCS365-_neon,24,col0,0.001,0.002,Priority,2023-11-29,2023-12-01,2023-12-07,2023-12-13,12_12,110,23_23,0.5,0.5,5.8,
2023-12_priorityeffects2,PlateE-T24-Trial2_cropped,B,1,N2C3-_neon,WCS365-_crim,N2C3-_neon,24,col0,0.001,0.002,Priority,2023-11-29,2023-12-01,2023-12-07,2023-12-13,12_12,110,23_23,0.5,0.5,5.8,
2023-12_priorityeffects2,PlateE-T24-Trial2_cropped,B,2,N2C3-_neon,WCS365-_crim,N2C3-_neon,24,col0,0.001,0.002,Priority,2023-11-29,2023-12-01,2023-12-07,2023-12-13,12_12,110,23_23,0.5,0.5,5.8,
2023-12_priorityeffects2,PlateE-T24-Trial2_cropped,B,3,N2C3-_neon,WCS365-_crim,N2C3-_neon,24,col0,0.001,0.002,Priority,2023-11-29,2023-12-01,2023-12-07,2023-12-13,12_12,110,23_23,0.5,0.5,5.8,
2023-12_priorityeffects2,PlateE-T24-Trial2_cropped,B,4,N2C3-_neon,WCS365-_crim,N2C3-_neon,24,col0,0.001,0.002,Priority,2023-11-29,2023-12-01,2023-12-07,2023-12-13,12_12,110,23_23,0.5,0.5,5.8,
2023-12_priorityeffects2,PlateE-T24-Trial2_cropped,B,5,N2C3-_neon,WCS365-_crim,N2C3-_neon,24,col0,0.001,0.002,Priority,2023-11-29,2023-12-01,2023-12-07,2023-12-13,12_12,110,23_23,0.5,0.5,5.8,
2023-12_priorityeffects2,PlateE-T24-Trial2_cropped,B,6,N2C3-_neon,WCS365-_crim,N2C3-_neon,24,col0,0.001,0.002,Priority,2023-11-29,2023-12-01,2023-12-07,2023-12-13,12_12,110,23_23,0.5,0.5,5.8,
2023-12_priorityeffects2,PlateE-T24-Trial2_cropped,B,7,WCS365-_neon,N2C3-_crim,WCS365-_neon,24,col0,0.001,0.002,Priority,2023-11-29,2023-12-01,2023-12-07,2023-12-13,12_12,110,23_23,0.5,0.5,5.8,
2023-12_priorityeffects2,PlateE-T24-Trial2_cropped,B,8,WCS365-_neon,N2C3-_crim,WCS365-_neon,24,col0,0.001,0.002,Priority,2023-11-29,2023-12-01,2023-12-07,2023-12-13,12_12,110,23_23,0.5,0.5,5.8,
2023-12_priorityeffects2,PlateE-T24-Trial2_cropped,B,9,WCS365-_neon,N2C3-_crim,WCS365-_neon,24,col0,0.001,0.002,Priority,2023-11-29,2023-12-01,2023-12-07,2023-12-13,12_12,110,23_23,0.5,0.5,5.8,
2023-12_priorityeffects2,PlateE-T24-Trial2_cropped,B,10,WCS365-_neon,N2C3-_crim,WCS365-_neon,24,col0,0.001,0.002,Priority,2023-11-29,2023-12-01,2023-12-07,2023-12-13,12_12,110,23_23,0.5,0.5,5.8,
2023-12_priorityeffects2,PlateE-T24-Trial2_cropped,B,11,WCS365-_neon,N2C3-_crim,WCS365-_neon,24,col0,0.001,0.002,Priority,2023-11-29,2023-12-01,2023-12-07,2023-12-13,12_12,110,23_23,0.5,0.5,5.8,
2023-12_priorityeffects2,PlateE-T24-Trial2_cropped,B,12,WCS365-_neon,N2C3-_crim,WCS365-_neon,24,col0,0.001,0.002,Priority,2023-11-29,2023-12-01,2023-12-07,2023-12-13,12_12,110,23_23,0.5,0.5,5.8,
2023-12_priorityeffects2,PlateE-T24-Trial2_cropped,C,1,MOCK-_neon,WCS365-_crim,MOCK-_neon,24,col0,0.001,0.002,Priority,2023-11-29,2023-12-01,2023-12-07,2023-12-13,12_12,110,23_23,0.5,0.5,5.8,
2023-12_priorityeffects2,PlateE-T24-Trial2_cropped,C,2,MOCK-_neon,WCS365-_crim,MOCK-_neon,24,col0,0.001,0.002,Priority,2023-11-29,2023-12-01,2023-12-07,2023-12-13,12_12,110,23_23,0.5,0.5,5.8,
2023-12_priorityeffects2,PlateE-T24-Trial2_cropped,C,3,MOCK-_neon,WCS365-_crim,MOCK-_neon,24,col0,0.001,0.002,Priority,2023-11-29,2023-12-01,2023-12-07,2023-12-13,12_12,110,23_23,0.5,0.5,5.8,
2023-12_priorityeffects2,PlateE-T24-Trial2_cropped,C,4,MOCK-_neon,WCS365-_crim,MOCK-_neon,24,col0,0.001,0.002,Priority,2023-11-29,2023-12-01,2023-12-07,2023-12-13,12_12,110,23_23,0.5,0.5,5.8,
2023-12_priorityeffects2,PlateE-T24-Trial2_cropped,C,5,MOCK-_neon,WCS365-_crim,MOCK-_neon,24,col0,0.001,0.002,Priority,2023-11-29,2023-12-01,2023-12-07,2023-12-13,12_12,110,23_23,0.5,0.5,5.8,
2023-12_priorityeffects2,PlateE-T24-Trial2_cropped,C,6,MOCK-_neon,WCS365-_crim,MOCK-_neon,24,col0,0.001,0.002,Priority,2023-11-29,2023-12-01,2023-12-07,2023-12-13,12_12,110,23_23,0.5,0.5,5.8,
2023-12_priorityeffects2,PlateE-T24-Trial2_cropped,C,7,MOCK-_neon,N2C3-_crim,MOCK-_neon,24,col0,0.001,0.002,Priority,2023-11-29,2023-12-01,2023-12-07,2023-12-13,12_12,110,23_23,0.5,0.5,5.8,
2023-12_priorityeffects2,PlateE-T24-Trial2_cropped,C,8,MOCK-_neon,N2C3-_crim,MOCK-_neon,24,col0,0.001,0.002,Priority,2023-11-29,2023-12-01,2023-12-07,2023-12-13,12_12,110,23_23,0.5,0.5,5.8,
2023-12_priorityeffects2,PlateE-T24-Trial2_cropped,C,9,MOCK-_neon,N2C3-_crim,MOCK-_neon,24,col0,0.001,0.002,Priority,2023-11-29,2023-12-01,2023-12-07,2023-12-13,12_12,110,23_23,0.5,0.5,5.8,
2023-12_priorityeffects2,PlateE-T24-Trial2_cropped,C,10,MOCK-_neon,N2C3-_crim,MOCK-_neon,24,col0,0.001,0.002,Priority,2023-11-29,2023-12-01,2023-12-07,2023-12-13,12_12,110,23_23,0.5,0.5,5.8,
2023-12_priorityeffects2,PlateE-T24-Trial2_cropped,C,11,MOCK-_neon,N2C3-_crim,MOCK-_neon,24,col0,0.001,0.002,Priority,2023-11-29,2023-12-01,2023-12-07,2023-12-13,12_12,110,23_23,0.5,0.5,5.8,
2023-12_priorityeffects2,PlateE-T24-Trial2_cropped,C,12,MOCK-_neon,N2C3-_crim,MOCK-_neon,24,col0,0.001,0.002,Priority,2023-11-29,2023-12-01,2023-12-07,2023-12-13,12_12,110,23_23,0.5,0.5,5.8,
2023-12_priorityeffects2,PlateE-T24-Trial2_cropped,D,1,NA,WCS365-_crim,NA,NA,NOPLANT,NA,NA,NA,2023-11-29,2023-12-01,2023-12-07,2023-12-13,12_12,110,23_23,0.5,0.5,5.8,
2023-12_priorityeffects2,PlateE-T24-Trial2_cropped,D,2,NA,WCS365-_crim,NA,NA,NOPLANT,NA,NA,NA,2023-11-29,2023-12-01,2023-12-07,2023-12-13,12_12,110,23_23,0.5,0.5,5.8,
2023-12_priorityeffects2,PlateE-T24-Trial2_cropped,D,3,NA,WCS365-_crim,NA,NA,NOPLANT,NA,NA,NA,2023-11-29,2023-12-01,2023-12-07,2023-12-13,12_12,110,23_23,0.5,0.5,5.8,
2023-12_priorityeffects2,PlateE-T24-Trial2_cropped,D,4,NA,WCS365-_crim,NA,NA,NOPLANT,NA,NA,NA,2023-11-29,2023-12-01,2023-12-07,2023-12-13,12_12,110,23_23,0.5,0.5,5.8,
2023-12_priorityeffects2,PlateE-T24-Trial2_cropped,D,5,NA,WCS365-_crim,NA,NA,NOPLANT,NA,NA,NA,2023-11-29,2023-12-01,2023-12-07,2023-12-13,12_12,110,23_23,0.5,0.5,5.8,
2023-12_priorityeffects2,PlateE-T24-Trial2_cropped,D,6,NA,WCS365-_crim,NA,NA,NOPLANT,NA,NA,NA,2023-11-29,2023-12-01,2023-12-07,2023-12-13,12_12,110,23_23,0.5,0.5,5.8,
2023-12_priorityeffects2,PlateE-T24-Trial2_cropped,D,7,NA,N2C3-_crim,NA,NA,NOPLANT,NA,NA,NA,2023-11-29,2023-12-01,2023-12-07,2023-12-13,12_12,110,23_23,0.5,0.5,5.8,
2023-12_priorityeffects2,PlateE-T24-Trial2_cropped,D,8,NA,N2C3-_crim,NA,NA,NOPLANT,NA,NA,NA,2023-11-29,2023-12-01,2023-12-07,2023-12-13,12_12,110,23_23,0.5,0.5,5.8,
2023-12_priorityeffects2,PlateE-T24-Trial2_cropped,D,9,NA,N2C3-_crim,NA,NA,NOPLANT,NA,NA,NA,2023-11-29,2023-12-01,2023-12-07,2023-12-13,12_12,110,23_23,0.5,0.5,5.8,
2023-12_priorityeffects2,PlateE-T24-Trial2_cropped,D,10,NA,N2C3-_crim,NA,NA,NOPLANT,NA,NA,NA,2023-11-29,2023-12-01,2023-12-07,2023-12-13,12_12,110,23_23,0.5,0.5,5.8,
2023-12_priorityeffects2,PlateE-T24-Trial2_cropped,D,11,NA,N2C3-_crim,NA,NA,NOPLANT,NA,NA,NA,2023-11-29,2023-12-01,2023-12-07,2023-12-13,12_12,110,23_23,0.5,0.5,5.8,
2023-12_priorityeffects2,PlateE-T24-Trial2_cropped,D,12,NA,N2C3-_crim,NA,NA,NOPLANT,NA,NA,NA,2023-11-29,2023-12-01,2023-12-07,2023-12-13,12_12,110,23_23,0.5,0.5,5.8,
2023-12_priorityeffects2,PlateE-T24-Trial2_cropped,E,1,N2C3-_neon,MOCK-_crim,N2C3-_neon,24,col0,0.001,0.002,Priority,2023-11-29,2023-12-01,2023-12-07,2023-12-13,12_12,110,23_23,0.5,0.5,5.8,
2023-12_priorityeffects2,PlateE-T24-Trial2_cropped,E,2,N2C3-_neon,MOCK-_crim,N2C3-_neon,24,col0,0.001,0.002,Priority,2023-11-29,2023-12-01,2023-12-07,2023-12-13,12_12,110,23_23,0.5,0.5,5.8,
2023-12_priorityeffects2,PlateE-T24-Trial2_cropped,E,3,N2C3-_neon,MOCK-_crim,N2C3-_neon,24,col0,0.001,0.002,Priority,2023-11-29,2023-12-01,2023-12-07,2023-12-13,12_12,110,23_23,0.5,0.5,5.8,
2023-12_priorityeffects2,PlateE-T24-Trial2_cropped,E,4,N2C3-_neon,MOCK-_crim,N2C3-_neon,24,col0,0.001,0.002,Priority,2023-11-29,2023-12-01,2023-12-07,2023-12-13,12_12,110,23_23,0.5,0.5,5.8,
2023-12_priorityeffects2,PlateE-T24-Trial2_cropped,E,5,N2C3-_neon,MOCK-_crim,N2C3-_neon,24,col0,0.001,0.002,Priority,2023-11-29,2023-12-01,2023-12-07,2023-12-13,12_12,110,23_23,0.5,0.5,5.8,
2023-12_priorityeffects2,PlateE-T24-Trial2_cropped,E,6,N2C3-_neon,MOCK-_crim,N2C3-_neon,24,col0,0.001,0.002,Priority,2023-11-29,2023-12-01,2023-12-07,2023-12-13,12_12,110,23_23,0.5,0.5,5.8,
2023-12_priorityeffects2,PlateE-T24-Trial2_cropped,E,7,WCS365-_neon,MOCK-_crim,WCS365-_neon,24,col0,0.001,0.002,Priority,2023-11-29,2023-12-01,2023-12-07,2023-12-13,12_12,110,23_23,0.5,0.5,5.8,
2023-12_priorityeffects2,PlateE-T24-Trial2_cropped,E,8,WCS365-_neon,MOCK-_crim,WCS365-_neon,24,col0,0.001,0.002,Priority,2023-11-29,2023-12-01,2023-12-07,2023-12-13,12_12,110,23_23,0.5,0.5,5.8,
2023-12_priorityeffects2,PlateE-T24-Trial2_cropped,E,9,WCS365-_neon,MOCK-_crim,WCS365-_neon,24,col0,0.001,0.002,Priority,2023-11-29,2023-12-01,2023-12-07,2023-12-13,12_12,110,23_23,0.5,0.5,5.8,
2023-12_priorityeffects2,PlateE-T24-Trial2_cropped,E,10,WCS365-_neon,MOCK-_crim,WCS365-_neon,24,col0,0.001,0.002,Priority,2023-11-29,2023-12-01,2023-12-07,2023-12-13,12_12,110,23_23,0.5,0.5,5.8,
2023-12_priorityeffects2,PlateE-T24-Trial2_cropped,E,11,WCS365-_neon,MOCK-_crim,WCS365-_neon,24,col0,0.001,0.002,Priority,2023-11-29,2023-12-01,2023-12-07,2023-12-13,12_12,110,23_23,0.5,0.5,5.8,
2023-12_priorityeffects2,PlateE-T24-Trial2_cropped,E,12,WCS365-_neon,MOCK-_crim,WCS365-_neon,24,col0,0.001,0.002,Priority,2023-11-29,2023-12-01,2023-12-07,2023-12-13,12_12,110,23_23,0.5,0.5,5.8,
2023-12_priorityeffects2,PlateE-T24-Trial2_cropped,F,1,N2C3-_neon,MOCK-_crim,N2C3-_neon,24,col0,0.001,0.002,Priority,2023-11-29,2023-12-01,2023-12-07,2023-12-13,12_12,110,23_23,0.5,0.5,5.8,
2023-12_priorityeffects2,PlateE-T24-Trial2_cropped,F,2,N2C3-_neon,MOCK-_crim,N2C3-_neon,24,col0,0.001,0.002,Priority,2023-11-29,2023-12-01,2023-12-07,2023-12-13,12_12,110,23_23,0.5,0.5,5.8,
2023-12_priorityeffects2,PlateE-T24-Trial2_cropped,F,3,N2C3-_neon,MOCK-_crim,N2C3-_neon,24,col0,0.001,0.002,Priority,2023-11-29,2023-12-01,2023-12-07,2023-12-13,12_12,110,23_23,0.5,0.5,5.8,
2023-12_priorityeffects2,PlateE-T24-Trial2_cropped,F,4,N2C3-_neon,MOCK-_crim,N2C3-_neon,24,col0,0.001,0.002,Priority,2023-11-29,2023-12-01,2023-12-07,2023-12-13,12_12,110,23_23,0.5,0.5,5.8,
2023-12_priorityeffects2,PlateE-T24-Trial2_cropped,F,5,N2C3-_neon,MOCK-_crim,N2C3-_neon,24,col0,0.001,0.002,Priority,2023-11-29,2023-12-01,2023-12-07,2023-12-13,12_12,110,23_23,0.5,0.5,5.8,
2023-12_priorityeffects2,PlateE-T24-Trial2_cropped,F,6,N2C3-_neon,MOCK-_crim,N2C3-_neon,24,col0,0.001,0.002,Priority,2023-11-29,2023-12-01,2023-12-07,2023-12-13,12_12,110,23_23,0.5,0.5,5.8,
2023-12_priorityeffects2,PlateE-T24-Trial2_cropped,F,7,WCS365-_neon,MOCK-_crim,WCS365-_neon,24,col0,0.001,0.002,Priority,2023-11-29,2023-12-01,2023-12-07,2023-12-13,12_12,110,23_23,0.5,0.5,5.8,
2023-12_priorityeffects2,PlateE-T24-Trial2_cropped,F,8,WCS365-_neon,MOCK-_crim,WCS365-_neon,24,col0,0.001,0.002,Priority,2023-11-29,2023-12-01,2023-12-07,2023-12-13,12_12,110,23_23,0.5,0.5,5.8,
2023-12_priorityeffects2,PlateE-T24-Trial2_cropped,F,9,WCS365-_neon,MOCK-_crim,WCS365-_neon,24,col0,0.001,0.002,Priority,2023-11-29,2023-12-01,2023-12-07,2023-12-13,12_12,110,23_23,0.5,0.5,5.8,
2023-12_priorityeffects2,PlateE-T24-Trial2_cropped,F,10,WCS365-_neon,MOCK-_crim,WCS365-_neon,24,col0,0.001,0.002,Priority,2023-11-29,2023-12-01,2023-12-07,2023-12-13,12_12,110,23_23,0.5,0.5,5.8,
2023-12_priorityeffects2,PlateE-T24-Trial2_cropped,F,11,WCS365-_neon,MOCK-_crim,WCS365-_neon,24,col0,0.001,0.002,Priority,2023-11-29,2023-12-01,2023-12-07,2023-12-13,12_12,110,23_23,0.5,0.5,5.8,
2023-12_priorityeffects2,PlateE-T24-Trial2_cropped,F,12,NA,MOCK-_crim,NA,NA,NOPLANT,NA,NA,NA,2023-11-29,2023-12-01,2023-12-07,2023-12-13,12_12,110,23_23,0.5,0.5,5.8,
2023-12_priorityeffects2,PlateE-T24-Trial2_cropped,G,1,NA,MOCK-_crim,NA,NA,NOPLANT,NA,NA,NA,2023-11-29,2023-12-01,2023-12-07,2023-12-13,12_12,110,23_23,0.5,0.5,5.8,
2023-12_priorityeffects2,PlateE-T24-Trial2_cropped,G,2,MOCK-_neon,MOCK-_crim,MOCK-_neon,24,col0,0.001,0.002,Priority,2023-11-29,2023-12-01,2023-12-07,2023-12-13,12_12,110,23_23,0.5,0.5,5.8,
2023-12_priorityeffects2,PlateE-T24-Trial2_cropped,G,3,MOCK-_neon,MOCK-_crim,MOCK-_neon,24,col0,0.001,0.002,Priority,2023-11-29,2023-12-01,2023-12-07,2023-12-13,12_12,110,23_23,0.5,0.5,5.8,
2023-12_priorityeffects2,PlateE-T24-Trial2_cropped,G,4,MOCK-_neon,MOCK-_crim,MOCK-_neon,24,col0,0.001,0.002,Priority,2023-11-29,2023-12-01,2023-12-07,2023-12-13,12_12,110,23_23,0.5,0.5,5.8,
2023-12_priorityeffects2,PlateE-T24-Trial2_cropped,G,5,MOCK-_neon,MOCK-_crim,MOCK-_neon,24,col0,0.001,0.002,Priority,2023-11-29,2023-12-01,2023-12-07,2023-12-13,12_12,110,23_23,0.5,0.5,5.8,
2023-12_priorityeffects2,PlateE-T24-Trial2_cropped,G,6,MOCK-_neon,MOCK-_crim,MOCK-_neon,24,col0,0.001,0.002,Priority,2023-11-29,2023-12-01,2023-12-07,2023-12-13,12_12,110,23_23,0.5,0.5,5.8,
2023-12_priorityeffects2,PlateE-T24-Trial2_cropped,G,7,MOCK-_neon,MOCK-_crim,MOCK-_neon,24,col0,0.001,0.002,Priority,2023-11-29,2023-12-01,2023-12-07,2023-12-13,12_12,110,23_23,0.5,0.5,5.8,
2023-12_priorityeffects2,PlateE-T24-Trial2_cropped,G,8,MOCK-_neon,MOCK-_crim,MOCK-_neon,24,col0,0.001,0.002,Priority,2023-11-29,2023-12-01,2023-12-07,2023-12-13,12_12,110,23_23,0.5,0.5,5.8,
2023-12_priorityeffects2,PlateE-T24-Trial2_cropped,G,9,MOCK-_neon,MOCK-_crim,MOCK-_neon,24,col0,0.001,0.002,Priority,2023-11-29,2023-12-01,2023-12-07,2023-12-13,12_12,110,23_23,0.5,0.5,5.8,
2023-12_priorityeffects2,PlateE-T24-Trial2_cropped,G,10,MOCK-_neon,MOCK-_crim,MOCK-_neon,24,col0,0.001,0.002,Priority,2023-11-29,2023-12-01,2023-12-07,2023-12-13,12_12,110,23_23,0.5,0.5,5.8,
2023-12_priorityeffects2,PlateE-T24-Trial2_cropped,G,11,MOCK-_neon,MOCK-_crim,MOCK-_neon,24,col0,0.001,0.002,Priority,2023-11-29,2023-12-01,2023-12-07,2023-12-13,12_12,110,23_23,0.5,0.5,5.8,
2023-12_priorityeffects2,PlateE-T24-Trial2_cropped,G,12,MOCK-_neon,MOCK-_crim,MOCK-_neon,24,col0,0.001,0.002,Priority,2023-11-29,2023-12-01,2023-12-07,2023-12-13,12_12,110,23_23,0.5,0.5,5.8,
2023-12_priorityeffects2,PlateE-T24-Trial2_cropped,H,1,NA,MOCK-_crim,NA,NA,NOPLANT,NA,NA,NA,2023-11-29,2023-12-01,2023-12-07,2023-12-13,12_12,110,23_23,0.5,0.5,5.8,
2023-12_priorityeffects2,PlateE-T24-Trial2_cropped,H,2,NA,MOCK-_crim,NA,NA,NOPLANT,NA,NA,NA,2023-11-29,2023-12-01,2023-12-07,2023-12-13,12_12,110,23_23,0.5,0.5,5.8,
2023-12_priorityeffects2,PlateE-T24-Trial2_cropped,H,3,NA,MOCK-_crim,NA,NA,NOPLANT,NA,NA,NA,2023-11-29,2023-12-01,2023-12-07,2023-12-13,12_12,110,23_23,0.5,0.5,5.8,
2023-12_priorityeffects2,PlateE-T24-Trial2_cropped,H,4,NA,MOCK-_crim,NA,NA,NOPLANT,NA,NA,NA,2023-11-29,2023-12-01,2023-12-07,2023-12-13,12_12,110,23_23,0.5,0.5,5.8,
2023-12_priorityeffects2,PlateE-T24-Trial2_cropped,H,5,NA,MOCK-_crim,NA,NA,NOPLANT,NA,NA,NA,2023-11-29,2023-12-01,2023-12-07,2023-12-13,12_12,110,23_23,0.5,0.5,5.8,
2023-12_priorityeffects2,PlateE-T24-Trial2_cropped,H,6,NA,MOCK-_crim,NA,NA,NOPLANT,NA,NA,NA,2023-11-29,2023-12-01,2023-12-07,2023-12-13,12_12,110,23_23,0.5,0.5,5.8,
2023-12_priorityeffects2,PlateE-T24-Trial2_cropped,H,7,NA,MOCK-_crim,NA,NA,NOPLANT,NA,NA,NA,2023-11-29,2023-12-01,2023-12-07,2023-12-13,12_12,110,23_23,0.5,0.5,5.8,
2023-12_priorityeffects2,PlateE-T24-Trial2_cropped,H,8,NA,MOCK-_crim,NA,NA,NOPLANT,NA,NA,NA,2023-11-29,2023-12-01,2023-12-07,2023-12-13,12_12,110,23_23,0.5,0.5,5.8,
2023-12_priorityeffects2,PlateE-T24-Trial2_cropped,H,9,NA,MOCK-_crim,NA,NA,NOPLANT,NA,NA,NA,2023-11-29,2023-12-01,2023-12-07,2023-12-13,12_12,110,23_23,0.5,0.5,5.8,
2023-12_priorityeffects2,PlateE-T24-Trial2_cropped,H,10,NA,MOCK-_crim,NA,NA,NOPLANT,NA,NA,NA,2023-11-29,2023-12-01,2023-12-07,2023-12-13,12_12,110,23_23,0.5,0.5,5.8,
2023-12_priorityeffects2,PlateE-T24-Trial2_cropped,H,11,NA,MOCK-_crim,NA,NA,NOPLANT,NA,NA,NA,2023-11-29,2023-12-01,2023-12-07,2023-12-13,12_12,110,23_23,0.5,0.5,5.8,
2023-12_priorityeffects2,PlateE-T24-Trial2_cropped,H,12,NA,MOCK-_crim,NA,NA,NOPLANT,NA,NA,NA,2023-11-29,2023-12-01,2023-12-07,2023-12-13,12_12,110,23_23,0.5,0.5,5.8,
2023-12_priorityeffects2,PlateF-T24-Trial2_cropped,A,1,N2C3-_neon,WCS365-_crim,N2C3-_neon,24,col0,0.001,0.001,Priority,2023-11-29,2023-12-01,2023-12-07,2023-12-13,12_12,110,23_23,0.5,0.5,5.8,
2023-12_priorityeffects2,PlateF-T24-Trial2_cropped,A,2,N2C3-_neon,WCS365-_crim,N2C3-_neon,24,col0,0.001,0.001,Priority,2023-11-29,2023-12-01,2023-12-07,2023-12-13,12_12,110,23_23,0.5,0.5,5.8,
2023-12_priorityeffects2,PlateF-T24-Trial2_cropped,A,3,N2C3-_neon,WCS365-_crim,N2C3-_neon,24,col0,0.001,0.001,Priority,2023-11-29,2023-12-01,2023-12-07,2023-12-13,12_12,110,23_23,0.5,0.5,5.8,
2023-12_priorityeffects2,PlateF-T24-Trial2_cropped,A,4,N2C3-_neon,WCS365-_crim,N2C3-_neon,24,col0,0.001,0.001,Priority,2023-11-29,2023-12-01,2023-12-07,2023-12-13,12_12,110,23_23,0.5,0.5,5.8,
2023-12_priorityeffects2,PlateF-T24-Trial2_cropped,A,5,N2C3-_neon,WCS365-_crim,N2C3-_neon,24,col0,0.001,0.001,Priority,2023-11-29,2023-12-01,2023-12-07,2023-12-13,12_12,110,23_23,0.5,0.5,5.8,
